,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
16,0.724729061126709,0.03086166287571077,0.04654240608215332,0.011439335445598093,mse,5,13,200,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 13, 'n_estimators': 200}",0.49314199983537765,0.5798120101569999,0.5744511817900599,0.5491350639274792,0.03965351636371894,11
17,1.0192748705546062,0.02159184485190955,0.06250238418579102,0.02173761745962378,mse,5,13,300,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 13, 'n_estimators': 300}",0.49289320569097705,0.580107904864267,0.5740996600146928,0.5490335901899789,0.03977295421359376,12
19,1.8025135199228923,0.07291378111489144,0.05219403902689616,0.0016952171186530546,mse,5,13,500,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 13, 'n_estimators': 500}",0.4922396795866817,0.5802769374814519,0.5742016257061925,0.5489060809247753,0.040145885083854534,13
18,1.437491496404012,0.059876646134815206,0.05817643801371256,0.006925823626576826,mse,5,13,400,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 13, 'n_estimators': 400}",0.492534709412742,0.580347537479777,0.5737369738396912,0.5488730735774033,0.03992854739383346,14
15,0.29254945119222003,0.00971399125220603,0.009641170501708984,0.0009405491166964253,mse,5,13,100,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 13, 'n_estimators': 100}",0.49006456885066496,0.5794386700887462,0.5743773066196776,0.5479601818530295,0.040990493643698916,15
4,2.0578285853068032,0.0556720929577732,0.08510573705037434,0.006531723507825548,mse,5,auto,500,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 500}",0.49203892394270565,0.5781321963609269,0.5697601516349318,0.5466437573128549,0.03876242728691303,16
3,1.8424084186553955,0.05083673292318581,0.07147582372029622,0.01617065422614751,mse,5,auto,400,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 400}",0.4915390955520035,0.5779689291107044,0.5686531946631994,0.5460537397753025,0.03873482974592552,17
2,1.4082353115081787,0.027580046583524687,0.048204660415649414,0.011410191260055318,mse,5,auto,300,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 300}",0.49178774502536726,0.5777863481551864,0.5681724484051637,0.5459155138619058,0.0384748254188561,18
1,0.9258589744567871,0.06282570006089964,0.035237789154052734,0.006782442584947432,mse,5,auto,200,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 200}",0.49139707846717695,0.5775698826208643,0.5685847285803086,0.5458505632227832,0.0386787603197148,19
0,0.41389091809590656,0.021910133734376724,0.021945079167683918,0.005344358667692181,mse,5,auto,100,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 100}",0.49057840900230765,0.5770356371523429,0.5689495471437228,0.5455211977661244,0.038990415409994636,20
25,0.2563146750132243,0.024032804865958754,0.01296544075012207,3.371747880871523e-07,mse,7,7,100,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 7, 'n_estimators': 100}",0.4868456227745639,0.5793303014848676,0.5646058049734188,0.5435939097442835,0.040574858840396466,21
29,1.2815742492675781,0.008501658886723011,0.07446765899658203,0.0032911872059705155,mse,7,7,500,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 7, 'n_estimators': 500}",0.48400155013960133,0.5794028161833569,0.5652066634569333,0.5428703432599638,0.04202803659974307,22
27,0.7370293935139974,0.006147658589291489,0.04388260841369629,0.0070990470622177585,mse,7,7,300,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 7, 'n_estimators': 300}",0.4860463343691893,0.5780216555509773,0.5635759176499733,0.5425479691900466,0.0403856070809743,23
26,0.5049825509389242,0.002487524424002249,0.0312497615814209,0.009646741254938576,mse,7,7,200,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 7, 'n_estimators': 200}",0.48685786100393935,0.5762646447398092,0.5634076720604737,0.5421767259347408,0.03946693172385782,24
28,1.003982702891032,0.019172319772157064,0.05418841044108073,0.006002529390370318,mse,7,7,400,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 7, 'n_estimators': 400}",0.4839841878133996,0.5787750729894063,0.5635537139262292,0.5421043249096784,0.04156428911938888,25
30,0.3234686851501465,0.01832306674858579,0.023603359858194988,0.007909069219565844,mse,7,10,100,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 10, 'n_estimators': 100}",0.4805833587268393,0.5754534274005956,0.5586642229061703,0.5382336696778685,0.041337135132563034,26
34,1.9132190545399983,0.054701595003729425,0.07912182807922363,0.010181611849486814,mse,7,10,500,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 10, 'n_estimators': 500}",0.48062818813270536,0.5729675573585342,0.5583606763755626,0.5373188072889341,0.04052743900330654,27
