,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_child_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
186,2.3188020388285318,0.01723602423688041,0.04388292630513509,0.0016283001543203012,0.01,7,10,11,500,"{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 10, 'min_child_weight': 11, 'n_estimators': 500}",0.4919192147011229,0.5710332004470925,0.570987307167143,0.5446465741051195,0.03728387809618661,49
158,2.335423707962036,0.015963700280515178,0.047207276026407875,0.006002569012347005,0.01,7,7,11,500,"{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 7, 'min_child_weight': 11, 'n_estimators': 500}",0.4919192147011229,0.5710332004470925,0.570987307167143,0.5446465741051195,0.03728387809618661,49
214,2.30716602007548,0.04854904060540444,0.05219395955403646,0.007388929599923214,0.01,7,13,11,500,"{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 13, 'min_child_weight': 11, 'n_estimators': 500}",0.4919192147011229,0.5710332004470925,0.570987307167143,0.5446465741051195,0.03728387809618661,49
137,2.299519936243693,0.012884439155510097,0.050532023111979164,0.010813588828483572,0.01,7,auto,12,500,"{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 'auto', 'min_child_weight': 12, 'n_estimators': 500}",0.4907748825707007,0.5692264823589444,0.5737483942410888,0.5445832530569112,0.03809302186799612,53
193,2.337419033050537,0.006219713647454552,0.042885541915893555,0.002154719178797723,0.01,7,10,12,500,"{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 10, 'min_child_weight': 12, 'n_estimators': 500}",0.4907748825707007,0.5692264823589444,0.5737483942410888,0.5445832530569112,0.03809302186799612,53
165,2.341740687688192,0.03039284925921781,0.0561830202738444,0.010050804308614913,0.01,7,7,12,500,"{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 7, 'min_child_weight': 12, 'n_estimators': 500}",0.4907748825707007,0.5692264823589444,0.5737483942410888,0.5445832530569112,0.03809302186799612,53
221,2.3257826964060464,0.04524420952996108,0.05651561419169108,0.007566269514887266,0.01,7,13,12,500,"{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 13, 'min_child_weight': 12, 'n_estimators': 500}",0.4907748825707007,0.5692264823589444,0.5737483942410888,0.5445832530569112,0.03809302186799612,53
637,0.6289855639139811,0.06063429541743551,0.008311033248901367,0.00046985331924368303,0.05,7,10,12,100,"{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 10, 'min_child_weight': 12, 'n_estimators': 100}",0.49291717423215764,0.568981796850444,0.5716543714654818,0.5445177808493612,0.03650344838702025,57
581,0.6323094367980957,0.011194719921738193,0.00797891616821289,3.371747880871523e-07,0.05,7,auto,12,100,"{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 'auto', 'min_child_weight': 12, 'n_estimators': 100}",0.49291717423215764,0.568981796850444,0.5716543714654818,0.5445177808493612,0.03650344838702025,57
665,0.5079750219980875,0.019016598407076018,0.008643388748168945,0.0009402119016191985,0.05,7,13,12,100,"{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 13, 'min_child_weight': 12, 'n_estimators': 100}",0.49291717423215764,0.568981796850444,0.5716543714654818,0.5445177808493612,0.03650344838702025,57
609,0.4950095812479655,0.013264022109178403,0.014960289001464844,0.00533988927996396,0.05,7,7,12,100,"{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 7, 'min_child_weight': 12, 'n_estimators': 100}",0.49291717423215764,0.568981796850444,0.5716543714654818,0.5445177808493612,0.03650344838702025,57
101,1.4830351670583088,0.04506776431770385,0.03224682807922363,0.007020771568641883,0.01,5,13,11,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 11, 'n_estimators': 400}",0.47227340604041745,0.5621095111162722,0.5989132302516614,0.544432049136117,0.053190104127294004,61
17,1.4723974863688152,0.0313941381703169,0.023603439331054688,0.00448490490175627,0.01,5,auto,11,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 11, 'n_estimators': 400}",0.47227340604041745,0.5621095111162722,0.5989132302516614,0.544432049136117,0.053190104127294004,61
73,1.5315720240275066,0.0172802473639085,0.0265958309173584,0.004484869565427054,0.01,5,10,11,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 11, 'n_estimators': 400}",0.47227340604041745,0.5621095111162722,0.5989132302516614,0.544432049136117,0.053190104127294004,61
45,1.4823707739512126,0.011085945281905587,0.029254992802937824,0.006632236127734435,0.01,5,7,11,400,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 11, 'n_estimators': 400}",0.47227340604041745,0.5621095111162722,0.5989132302516614,0.544432049136117,0.053190104127294004,61
630,0.5152894655863444,0.004975749677779824,0.00831151008605957,0.00047052742684294406,0.05,7,10,11,100,"{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 10, 'min_child_weight': 11, 'n_estimators': 100}",0.48932062530955156,0.5702574491108428,0.5702839054308582,0.5432873266170841,0.03816022198132979,65
602,0.5099697907765707,0.01581813843913169,0.011635541915893555,0.0038482198950211175,0.05,7,7,11,100,"{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 7, 'min_child_weight': 11, 'n_estimators': 100}",0.48932062530955156,0.5702574491108428,0.5702839054308582,0.5432873266170841,0.03816022198132979,65
574,0.5382274786631266,0.02916052818261415,0.00831135114034017,0.00047013408649250444,0.05,7,auto,11,100,"{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 'auto', 'min_child_weight': 11, 'n_estimators': 100}",0.48932062530955156,0.5702574491108428,0.5702839054308582,0.5432873266170841,0.03816022198132979,65
658,0.5094553629557291,0.01816181620809785,0.008643627166748047,0.0004701902520620762,0.05,7,13,11,100,"{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 13, 'min_child_weight': 11, 'n_estimators': 100}",0.48932062530955156,0.5702574491108428,0.5702839054308582,0.5432873266170841,0.03816022198132979,65
27,3.0781057675679526,0.06765399409804579,0.06781880060831706,0.010203302287721117,0.01,5,auto,12,800,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 12, 'n_estimators': 800}",0.496747886256829,0.5750773857115552,0.5572124036186057,0.5430125585289967,0.033517202763493056,69
83,2.977707544962565,0.02277699512684778,0.05684828758239746,0.0037315733072460643,0.01,5,10,12,800,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 12, 'n_estimators': 800}",0.496747886256829,0.5750773857115552,0.5572124036186057,0.5430125585289967,0.033517202763493056,69
55,2.974050442377726,0.041626162843591934,0.06948129336039226,0.0083183684372549,0.01,5,7,12,800,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 12, 'n_estimators': 800}",0.496747886256829,0.5750773857115552,0.5572124036186057,0.5430125585289967,0.033517202763493056,69
111,3.013611316680908,0.004178478421991971,0.06116986274719238,0.00908023595088071,0.01,5,13,12,800,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 12, 'n_estimators': 800}",0.496747886256829,0.5750773857115552,0.5572124036186057,0.5430125585289967,0.033517202763493056,69
103,2.627642552057902,0.028000312516673526,0.04920204480489095,0.00470167763668328,0.01,5,13,11,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 11, 'n_estimators': 700}",0.49670281647875714,0.5744941959520311,0.557305709738612,0.5428342407231335,0.03336607300525686,73
19,2.5900769233703613,0.0397186019127553,0.050532023111979164,0.004485075733744005,0.01,5,auto,11,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 11, 'n_estimators': 700}",0.49670281647875714,0.5744941959520311,0.557305709738612,0.5428342407231335,0.03336607300525686,73
47,2.6150103410085044,0.008808039519406697,0.061502297719319664,0.0068295518599204765,0.01,5,7,11,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 11, 'n_estimators': 700}",0.49670281647875714,0.5744941959520311,0.557305709738612,0.5428342407231335,0.03336607300525686,73
75,2.5957274436950684,0.010627550313847812,0.0624997615814209,0.009153020930603734,0.01,5,10,11,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 11, 'n_estimators': 700}",0.49670281647875714,0.5744941959520311,0.557305709738612,0.5428342407231335,0.03336607300525686,73
33,2.653240919113159,0.012196496556567293,0.055850823720296226,0.0077680117209758814,0.01,5,7,8,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 8, 'n_estimators': 700}",0.4937874602811346,0.573090138342797,0.5562109104383303,0.541029503020754,0.03410850368380048,77
89,2.659225066502889,0.014845064567394959,0.053856452306111656,0.007099114058950291,0.01,5,13,8,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 13, 'min_child_weight': 8, 'n_estimators': 700}",0.4937874602811346,0.573090138342797,0.5562109104383303,0.541029503020754,0.03410850368380048,77
61,2.59938383102417,0.022068287445643122,0.0498665968577067,0.00430870257707524,0.01,5,10,8,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 10, 'min_child_weight': 8, 'n_estimators': 700}",0.4937874602811346,0.573090138342797,0.5562109104383303,0.541029503020754,0.03410850368380048,77
5,2.508328358332316,0.02277685128708243,0.05684820810953776,0.00587224231207037,0.01,5,auto,8,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'auto', 'min_child_weight': 8, 'n_estimators': 700}",0.4937874602811346,0.573090138342797,0.5562109104383303,0.541029503020754,0.03410850368380048,77
40,2.6120181878407798,0.04348108624777089,0.055518786112467446,0.009950734719365657,0.01,5,7,9,700,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 7, 'min_child_weight': 9, 'n_estimators': 700}",0.49091541907439684,0.573647836771644,0.5580629887268831,0.5408754148576412,0.03589542919965276,81
